author,comment,published_at,like_count
@rinn-yg7hx,❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉,2024-03-24T12:39:47Z,0
@andilehoy4692,"Selamat kepada pak Anis, kini sedang menangis setelah janji janji manisnya gagal di sengketa KPU.",2024-03-24T10:03:40Z,0
@AnwarAnwar-s8o8g,"Prof Yusril mantap, tampil lbh muda asoy",2024-03-24T09:35:34Z,0
@asepmohamad3987,Barokalloh Bapak ...sehat sekalu panjang umur Amiin amiin amiin,2024-03-24T09:12:29Z,0
@hens264,Alam memberi tanda awal penguasa,2024-03-24T08:05:47Z,0
@Tritura66,Ga lama jg bakal dilengserij sm keluarga...😅,2024-03-24T06:09:58Z,0
@jamiruddinjamiruddin3380,MANDAT RAKYAT KARNA BANSOS..,2024-03-24T05:54:27Z,0
@MartinlutarLaw-kr3uk,Mantap Pak Prabowo cukup ratusan tahun bangsa Indonesia ditindas saatnya pribumi diatas martbat bangsa besar Nusantara..NKRI jaya 🇮🇩👍🇮🇩,2024-03-24T05:52:33Z,0
@anasalhusain115,Partai aj ngk punya....kok oposisi,2024-03-24T05:49:28Z,0
@MasBrroOfficiaL,SELAMAT PAK PRABOWO dan MAS GIBRAN... Alhamdulillah saya coblos sampean2 pada 14 February kemarin... Salam dari SoLo yg berdomisili di Kalimantan Selatan...🎉🎉😊❤❤❤❤,2024-03-24T05:23:02Z,4
@onetwo-x4m,Terharu,2024-03-24T04:57:32Z,0
@penghunilangit9909,"KAMI SEMAKIN CINTA PBOWO GIBRAN, PBOWO TELAH SADAR BHW NEGARA TIDAK BOLEH JADI TUMBAL KEMISKINAN OLEH BANGSA EROPA DAN AS LAGI. TERHARU DAN BAHAGIA PBOWO SANGAT BERANI MELAWAN KEJAHATAN BANGSA EROPA DAN AS. KAMI BANGGA MAKAN SIANG UTK GIZI BAGI BAYI DAN ANAK2 SEKOLAH DAN HILIRISASI BAKAL MEMAKMURKAN BAGI SELURUH WARGA INDONESIA❤2034 INDONESIA EMAS YAKIN TERWUJUD❤❤HARAPAN KAMI PBOWO MAMPU HANCURKAN PENJAHAT2 KORUPTOR, TOKOH NARKOBA, DAN MAFIA TANAH❤MAKANAN BERGIZI BAGI BAYI2 MISKIN PENDERITAAN PANJANG...",2024-03-24T04:53:55Z,0
@CRAZY-dw4xv,"nama beliau tercantum untuk memimpin negara kesatuan republik indonesia,semoga untuk yang akan datang,bapak Kunto yang akan datang untuk memimpin negara kesatuan republik indonesia.",2024-03-24T04:08:25Z,0
@linggalingga1880,"Menang suara bukan berarti ditetapkan jadi pemenang..
Masih ada gugatan dan bisa jdi diskualifikasi",2024-03-24T03:33:39Z,0
@rusdidin-z6s,Alhamdulillah selamat. Untuk pa prabowo  Gibran dan. Kualisi. Indonesia. Maju sukses dan sehat selalu 🤲👍❤,2024-03-24T02:59:04Z,0
@umifauzah8626,Smoga PK Prabowo dan mas Gibran slalu mendapatkan perlindungan n Ridho Alloh SWT aamiin,2024-03-24T01:39:44Z,0
@nurlaylaahmad159,Mashaalloh,2024-03-24T00:58:53Z,0
@Zubaedah-q1z,"Pak prabowo kenapa tidak menyalami tangan pak fahri hamza? pak fahri terlihat sedih,menunduk dan menutup tangannya. Mohon di maafkan  ya pak fahri. Pak prabowo mungkin lelah dan tidak  melihat sekilas dan terburu buru dan banyak orang juga. Saya. Percaya di hatinya pak prabowo ada nama pak fahri ❤",2024-03-24T00:27:20Z,1
@GedeBangde,"Sehat selalu mas kaesang,,,masyaallah",2024-03-23T23:45:12Z,0
@jevinalauraazzahra3574,👏👏,2024-03-23T23:33:49Z,0
@heriperda1398,"Selamat kepada pak prabowo.
Dulu bpk pernah bilang uang negara kita byk bocor dan lari ke luar 

Dengan bpk terpilih insaallah jadi preiden
Rakyat menunggu
Janji2 mu",2024-03-23T23:14:40Z,0
@endikurniawan1636,Dari sini kita blajar banyak dari gibran😅,2024-03-23T23:12:19Z,0
@arifrahayuni,Prabowo Subianto RI 1 🇮🇩 Ke-8 🔥,2024-03-23T22:34:08Z,1
@romanroman9944,"Harusnya Pak Anies yg menang, klu tak dicurangi..",2024-03-23T20:47:23Z,0
@romanroman9944,Hoax,2024-03-23T20:45:54Z,0
@alghibran6352,Alhamdulillahi Robbil Alaminnnn,2024-03-23T20:18:07Z,0
